a,b,verdict,basis,repair
ai-class-newsletter-prompt,digital-textbook-introduction-school-changes,DISTINCT,"接点なし。","-"
ai-class-newsletter-prompt,education-ai-service-checklist-before-use,RELATED_BUT_DISTINCT,"NEWS L205は『著作権法第35条は保護者向け学級通信に及ばない』という文書固有の論点、EDUAI §4は『AI生成物の権利と責任の所在』で、扱う権利関係が異なる。","-"
ai-class-newsletter-prompt,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"共有しているのは『（本サイト作成の参考様式）＋（完全な架空の事例）＋この記事の適用限界＋参考資料』というテンプレート骨格で、シートの記入項目自体は別物。NEWS L70の環境確認はKOOMU側へ委譲される。","-"
ai-class-newsletter-prompt,giga-device-lesson-use-guide,DISTINCT,"学級通信のAI下書きと端末授業の当日運用で接点なし。","-"
ai-class-newsletter-prompt,google-forms-school-use-guide,OVERLAP_REQUIRES_REPAIR,"NEWS L82とFORMS L110が、個人情報保護法第2条第5項・第6項を引いて『氏名を伏せる作業は匿名加工情報でも仮名加工情報でもない』と結論する同一の論証を、それぞれ独立に掲載している。","どちらも保持せず、ai-koomu-kaizen-nyumon Gate 2へ集約する（KOOMU×NEWS・KOOMU×FORMSの修理と共通）。NEWSには『学級通信は氏名を伏せても学級内では特定される』の1文、FORMSには『無記名は匿名ではない（自由記述・所属粒度・回答時刻）』の1文だけを残し、法令の説明はKOOMUへリンクする。"
ai-class-newsletter-prompt,special-needs-ict-support-tools-checklist,DISTINCT,"読者ジョブが無関係。共有資産なし。","-"
ai-koomu-kaizen-nyumon,ai-class-newsletter-prompt,OVERLAP_REQUIRES_REPAIR,"NEWS L70『環境の確認』＝KOOMU Gate 1（私用アカウント・私用端末の禁止、『承認された環境が無ければここで止まる。失敗ではなく正常な結論』まで同文意）、NEWS L82の匿名加工情報・仮名加工情報の論証＝KOOMU L59-61、NEWS Step 3＝KOOMU Gate 3。さらにKOOMU L168-176がNEWSのStep 1〜6を要約し子記事を先取り。","KOOMUがGate 1・Gate 2・Gate 3を保持。NEWSはL70とL82を削除し『Gate 1を通っていることが前提』の1行リンクに置換、Step 3の汎用リストを削り通信固有の理由（持ち物・締切・費用の誤りは当日その家庭に実害が出る）だけ残す。逆にKOOMU L168-176から手順①〜⑤の要約を外しNEWSへのリンクのみにする。ゲート名の衝突を避けるためKOOMU側を『校務ゲート1〜4』へ改名する。"
ai-koomu-kaizen-nyumon,chatgpt-tsuchihyo-shoken,OVERLAP_REQUIRES_REPAIR,"既知の重複(a)の中核。SHOKEN §4の原則①匿名化・②観点・事実だけ入力・③抽象化が、KOOMU Gate 2の入力可否の線引きと同じ判断を反復。加えてKOOMU L165『対象単位』行がSHOKEN L109-123の3判断軸（①匿名化で意味が変わるか②保護者との関係③時間か材料か）を圧縮して先取りしている。","KOOMUがGate 2（入力可否の線引きと匿名加工情報／仮名加工情報の法的整理）とGate 4（人が確認する観点）を保持。SHOKENは§4の原則①〜③を節ごと削除しKOOMU Gate 2へ1行リンク、原則④は§5へ吸収。逆にKOOMU L165『対象単位』行から3判断軸の要約を外しSHOKENへのリンクのみにする。"
ai-koomu-kaizen-nyumon,digital-textbook-introduction-school-changes,DISTINCT,"接点なし。共有チェックリスト・判断軸なし。","-"
ai-koomu-kaizen-nyumon,education-ai-service-checklist-before-use,OVERLAP_REQUIRES_REPAIR,"EDUAI §2『児童生徒の個人情報を入力してよいか』（匿名化・抽象化・名前を消しただけでは特定される）がKOOMU Gate 2の劣化版。EDUAI §5『AIの誤り・偏り・説明責任』がKOOMU Gate 4『人が何を確認するか』およびL206『AIに最終判断を委ねない場面』と重複。","KOOMUがGate 2とGate 4を保持。EDUAIは§2と§5を削除しKOOMU Gate 2／Gate 4へ1行リンクし、AI固有の3点（入力の二次利用とオプトアウトの既定値／生成物の権利と責任の所在／管理者設定・ログイン方式）に記事を縮める。"
ai-koomu-kaizen-nyumon,free-ict-tools-safety-checklist,OVERLAP_REQUIRES_REPAIR,"同一サイトで意味の違う『Gate 1〜』が2セット存在し、判定欄・『どこかで止まったらその先へ進まない』の言い回し・参考様式シート・完全な架空の事例まで同型テンプレート。内容面でもKOOMU Gate 1（校務で利用してよいか・私用アカウント禁止）＝FREE Gate 1（学校・設置者のルール上使えるか）、KOOMU Gate 2の『氏名を消しても照合で個人情報』＝FREE Gate 3。","呼称の衝突を解消するため、KOOMU側の連番を『校務ゲート1〜4』へ改名する。内容はFREEがGate 1（承認済み一覧・確認経路）とGate 3（外部送信・識別）を保持し、KOOMUの校務ゲート1は『承認された環境でなければここで止まる』1文＋FREE Gate 1へのリンクに縮約。KOOMUは匿名加工情報／仮名加工情報の法的整理を単独所有として明記し、FREE Gate 3側はその論点をKOOMUへリンクする。"
ai-koomu-kaizen-nyumon,giga-device-lesson-use-guide,DISTINCT,"校務でのAI利用可否と端末授業の当日運用で、読者ジョブ・資産に共通点なし。","-"
ai-koomu-kaizen-nyumon,google-forms-school-use-guide,OVERLAP_REQUIRES_REPAIR,"実文面で確認：FORMS L110『これは個人情報保護法が定める匿名加工情報や仮名加工情報とは別の話です。氏名欄を置かないことは、法律上のそれらの区分に当たりません』が、KOOMU L59-61の同一論証（氏名を伏せた作業は法律上のどちらの類型でもない）の再掲。","KOOMUがGate 2の匿名加工情報／仮名加工情報の法的整理を保持。FORMSはL110の法令段落を削除しKOOMU Gate 2へ1行リンク、Googleフォーム固有の識別リスク（自由記述の内容・所属欄の粒度・回答時刻・『結果の概要』設定）だけを残す。"
ai-koomu-kaizen-nyumon,special-needs-ict-support-tools-checklist,RELATED_BUT_DISTINCT,"ICTTOOL L123『教材準備でAI生成ツールを使う場合、個人情報を入力しないことが原則』は注意点1行のみ。KOOMUのゲート判断・判断シートを再掲していない。","-"
