a,b,verdict,basis,repair
ai-class-newsletter-prompt,ai-koomu-kaizen-nyumon,RELATED_BUT_DISTINCT,"通信側は「AIへ渡してよい情報かを確認する」節で入力可否の線引き自体を持たず、「上記の2つ目のゲートで扱っています」「3つ目のゲート（AIに何をさせるか）にまとめています」と本文ごと委譲済み。残るのは通信固有の資産（原資料照合表14項目＝雨天時・費用・締切・問い合わせ先の桁照合、前号との整合、著35条とWeb掲載、AI下書き前シート）。koomu側は「担当業務ごとに、最初に止まりやすいゲート」表の1行で通信記事へ送り返しており、双方向の分岐が成立。","-"
ai-class-newsletter-prompt,chatgpt-tsuchihyo-shoken,RELATED_BUT_DISTINCT,"両者とも生成AIの下書き記事だが所有物が分離済み。通信側は「この手順が扱う文書と、扱わない文書」で個別連絡を明示的に除外し、資産は「原資料と突き合わせて事実を戻す」の照合表・配布前チェックリスト・AI下書き前シート・著作権（35条は保護者向け通信に及ばない）。所見側は「名簿を見ながら、使わない子を先に決める」の3軸と「所見AI利用メモ」（①誰に使うか判定②入力前③提出前）を持ち、照合工程そのものは通信側へ委譲（「戻ってきた文章で、所見だけに起きることを見る」で共通部分をリンクし、固有は他児との言い回し重複と一括生成で照合が削られる点の2つのみ）。入力可否は双方とも ai-koomu の校務ゲート2へ委譲済みで、チェックリストの重複所有はない。","（任意）所見側の委譲リンク文言が通信側の「Step 4：人が事実を戻す」を指すが、現在の見出しは「原資料と突き合わせて事実を戻す」。アンカー文言を現行見出しに合わせる。"
ai-class-newsletter-prompt,digital-textbook-introduction-school-changes,DISTINCT,"前者は「この手順が扱う文書と、扱わない文書」で学級通信・学年だより等の全体向け配布文書のAI下書きに限定し、資産は「AI下書き前シート」「配布前チェックリスト」。後者は「最初の単元を組む前に、順番に決める4つのこと」で学習者用デジタル教科書の初回単元の組み立てを扱い、資産は「シートA：4段階の記録」「シートB：紙とデジタルのどちらを選んだか」。共有チェックリストも相互言及も無い。","-"
ai-class-newsletter-prompt,education-ai-service-checklist-before-use,DISTINCT,"通信側は「原資料と突き合わせて事実を戻す」「配布前チェックリスト」「AI下書き前シート」で1号分の原稿を配布可能にする作業を所有。サービス側は「候補に載せるかどうかだけを、その場で決める」と明示し、資産は「AIサービス一次判定シート」と3値判定（候補にする／保留／候補にしない）。著作権も、通信側は著作権法第35条が授業目的外に及ばない点、サービス側は「生成物の権利と、責任の所在」で規約条項の有無だけ、と対象が別。共有チェックリストなし。","-"
ai-class-newsletter-prompt,free-ict-tools-safety-checklist,DISTINCT,"読者ジョブが別（配布文書の下書きを配れる原稿に戻す／未承認の外部ICTサービスを児童生徒に使わせてよいか）。通信側は利用可否をkoomuの校務ゲート1へ委譲し、free-ictの5ゲート（アカウント・外部送信・公開範囲・回収削除）には一切触れていない。共有チェックリストなし、相互リンクもなし。","-"
ai-class-newsletter-prompt,giga-device-lesson-use-guide,DISTINCT,"通信側は「AIを開く前に材料を並べる」「配布前チェックリスト」で保護者向け配布文書の事実照合を扱う。端末側は「前日までに実機で確かめること（授業前チェック表）」「何分で代替に切り替えるか」で授業当日の機器運用を扱う。読者の場面（放課後の文書作成 vs 授業前日・授業中）も資産も一切共有していない。","-"
ai-class-newsletter-prompt,google-forms-school-use-guide,DISTINCT,"読者ジョブが逆方向で、前者は「原資料と突き合わせて事実を戻す」「配布の前に通す確認」と配る文書の下書き検証、後者は「配る前に決める判断だけを扱います」「ログインを要求できる相手か」と回答を集める設計。氏名を伏せても特定される点は両者に出るが、前者は「この学級の保護者がこの文章を読んだら誰のことか分かるか」、後者は「無記名は匿名ではない」と対象物が別で、いずれも法令上の区分は ai-koomu-kaizen-nyumon の校務ゲート2へ明示委譲済み。","-"
ai-class-newsletter-prompt,individual-education-plan-writing-guide,DISTINCT,"通信側は「学級や学年の全体に向けて配る文書」に限定し、冒頭で「特定の児童生徒について保護者へ伝える個別連絡」を扱わないと明記。計画側は「様式は配られた。決まらないのは「どこまで書くか」」から実態把握・目標・手立て・評価の欄を埋める作業。共有する様式・チェックリスト・架空例はいずれも別物。","-"
ai-class-newsletter-prompt,reasonable-accommodation-school-record,DISTINCT,"通信側は冒頭「この手順が扱う文書と、扱わない文書」で『特定の児童生徒について保護者へ伝える個別連絡…この記事の手順は当てはまりません』と明示的に切り離している。配慮記録の6欄・書き換え表・基礎的環境整備との切り分けは通信側に一切存在しない。","-"
ai-class-newsletter-prompt,special-needs-behavior-record-guide,DISTINCT,"通信側は「扱わないもの」で個別の児童生徒に関する記述を対象外と明記し、「健康・家庭の事情・支援の内容は、全体向けの通信の材料にもしません」としている。行動記録側は「記録の粒度をどう決めるか」の3基準とABC記録シートが資産で、外部サービスへの入力は「記録の本文は、外部サービスに入力しない」で ai-koomu へ委譲。共有する判断・様式はない。","-"
ai-class-newsletter-prompt,special-needs-ict-reasonable-accommodation,DISTINCT,"前者は生成AIによる通信の下書き工程（「推測で埋めさせない依頼文を書く」「配布前チェックリスト」）、後者は「『読み上げを使わせてよいか』は、二つの問いに分かれている」を起点にした合理的配慮か教育課程上の指導かの仕分けと「評価場面で使ってよいかの仕分け表」。判断対象・資産とも重ならず、相互リンクも無い。","-"
ai-class-newsletter-prompt,special-needs-ict-support-tools-checklist,DISTINCT,"通信側の架空例は「指示に反した出力を1箇所ずつ判定する」ためのもの、ツール側の架空例は「一つの場面を最初から最後まで通した例」で候補比較から「調整する」判定までを示すもの。読者ジョブ（配布文書の下書き／1人の子への支援ツール選定）も所有資産も重ならない。","-"
ai-class-newsletter-prompt,special-needs-parent-collaboration,DISTINCT,"通信側の扱わないものに「面談の記録、支援方針の連絡」が名指しで入っており、面談1回分の記録シート・保留→校内確認→回答の並び（①〜⑨）は面談記事だけが持つ。通信側の保護者向け資産は全体配布文書の配布前チェックリストのみ。","-"
ai-class-newsletter-prompt,special-needs-visual-schedule-support,DISTINCT,"通信側は保護者向け配布文書のAI下書きと配布前確認、視覚支援側は「形式・情報量・提示位置を先に決める」「予定変更を、同じ視覚的手段で伝え直す」「視覚支援の見直し記録シート」で子ども1人分の支援ツール設計。読者ジョブ・様式・一次資料のいずれも重ならない。","-"
ai-koomu-kaizen-nyumon,chatgpt-tsuchihyo-shoken,RELATED_BUT_DISTINCT,"所見側は節見出し「入力してよい情報かどうかは、校務全体の線引きに従う」で本文を持たず、匿名加工情報・仮名加工情報・要配慮個人情報の整理を校務ゲート2へ委譲済み。自前の資産は「名簿を見ながら、使わない子を先に決める」3軸と「所見AI利用メモ」で、同メモも『上でリンク先に委ねた一般的な入力可否の線引きと重ならない、所見に固有のものだけに絞っています』と明記。校務側も「担当業務ごとに、最初に止まりやすいゲート」表で通知表所見を所見記事へ送り返しており、双方向の委譲が成立している。","-"
ai-koomu-kaizen-nyumon,digital-textbook-introduction-school-changes,DISTINCT,"校務ゲート側の「校務ゲート1で止まったあと、自校の扱いを調べる」は生成AIガイドライン原本（Ver.2.0）の読み方と校内文書の探索順。デジタル教科書側の「段階1：導入前に、校内で誰に何を聞くか」はライセンス・アカウント・ビューアという教科書固有項目を相手別に並べた表で、「制度と最新情報をどこで確かめるか」も文科省デジタル教科書ページと自治体通知が対象。一次資料も判断対象も別。","-"
ai-koomu-kaizen-nyumon,education-ai-service-checklist-before-use,RELATED_BUT_DISTINCT,"AIサービス記事に「この記事が引き受けない判断」表があり、校務ゲート1・2・4をkoomuへ明示的に返している。judgment sheetは2枚あるが対象単位が違う（koomu＝1業務1枚の校務判断シート／AIサービス＝1サービス1枚の一次判定シートで、二次利用の既定値・生成物の権利・管理者設定という3点はAI記事だけが表で所有）。koomu側は校務ゲート1の箇条書きで「導入候補に載せてよいかはAIサービス記事で一次判定」と送り返している。","-"
ai-koomu-kaizen-nyumon,free-ict-tools-safety-checklist,RELATED_BUT_DISTINCT,"どちらもゲート型だが対象が違う。校務側は「校務ゲート1：その環境で使ってよいか」で私用アカウント・私用端末の禁止と教職員／児童生徒の記述の切れ目、および「校務ゲート1で止まったあと、自校の扱いを調べる」（原本を上から読まない・読み違えやすい2か所）を所有。無料ツール側は児童生徒に使わせる側で、Gate 1の確認経路の探し方・端末ブロックの扱い・申請と回答の区別、Gate 2〜5（アカウント／外部送信／公開範囲／回収削除）とUSE・HOLD・DO NOT USEの判定語を所有。匿名加工情報・仮名加工情報は無料ツール側 Gate 3 が明示的に校務ゲート2へ委譲、規約の見どころは education-ai へ委譲しており、重複所有はない。","（任意）校務ゲート1が「誰にどの順で相談するかは free-ict に整理があります」と書くが、free-ict の Gate 1 は「確認の順番を…固定しません」と明言している。アンカー文言を「確認経路の探し方」に直すと整合する。"
ai-koomu-kaizen-nyumon,giga-device-lesson-use-guide,DISTINCT,"校務ゲート1は「その環境で使ってよいか」＝生成AIを私用アカウント・私用端末で使わない等の利用可否、giga側の「教員が自分で確認してよい範囲」は学校管理端末の設定変更・アカウント操作をどこまで自分で触るかという別の線引きで、判定基準も対象も重ならない。giga側の生成AIへの言及は関連記事欄の1行のみ。","-"
ai-koomu-kaizen-nyumon,google-forms-school-use-guide,RELATED_BUT_DISTINCT,"フォーム側は冒頭の「扱わないもの」で「要配慮個人情報や匿名加工情報・仮名加工情報といった法令上の枠組み → 校務ゲート2」と委譲し、「無記名は匿名ではない」の節でも引用ブロックで再度委譲したうえ、自分は「記名の粒度」「権限は2か所、消す場所は最大3か所」だけを所有。校務ゲート側も表の「アンケート・自由記述の整理」行から「回答を集める側の設計は」とフォーム記事へ送っている。本文の重複所有はない。","-"
