"slug","title","category","published_at","updated_at","word_count","source_count","broken_links","overlap_group","firsthand_evidence","utility_asset","current_status","recommendation","reason"
"ai-class-newsletter-prompt","学年だより・学級通信をAIで時短する実践例【プロンプト付き】","AI校務改善","2026-06-17","2026-07-08","4135","0","0","AI校務プロンプト","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","ai-lesson-preparation-promptへ成果物例を統合"
"ai-koomu-kaizen-nyumon","AIで変わる校務改善：教員の残業を減らす5つの活用法","AI校務改善","2025-06-10","2026-06-16","2114","0","0","生成AI入門","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","一般論が中心のため中核記事へ統合"
"ai-lesson-preparation-prompt","授業準備をAIで時短する方法：教材研究・導入・発問づくりの実践例","AI校務改善","2026-06-19","2026-07-08","5290","0","0","AI校務プロンプト","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","授業準備の具体的な入力・確認手順"
"chatgpt-teacher-beginner-guide","教員のためのChatGPT入門：アカウント作成から安全な使い始め方まで","AI校務改善","2026-06-17","2026-06-19","2424","1","0","生成AI入門","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","サービス入門と安全確認の記事群で重複"
"chatgpt-tsuchihyo-shoken","ChatGPTで通知表所見を作る方法と注意点【教員向け】","AI校務改善","2026-06-16","2026-07-08","3010","0","0","AI校務プロンプト","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","匿名化と教員確認を伴う具体手順"
"digital-textbook-introduction-school-changes","デジタル教科書の本格導入で学校現場は何が変わるか：紙との使い分けと特別支援の視点","ICT活用","2026-06-27","2026-07-08","2466","0","0","デジタル教科書","USER INPUT REQUIRED","なし","PUBLISHED","KEEP_AND_STRENGTHEN","紙との使い分けを特別支援の観点で整理"
"education-ai-service-checklist-before-use","教育AIサービスを学校で使う前に確認したいこと｜個人情報・規約・安全性のチェックリスト","教材・支援ツール","2026-06-27","2026-07-08","2519","0","0","ツール安全確認","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","導入前チェックリストという実用品"
"education-grant-search-guide","教員が教育助成金を探す方法：個人応募・学校応募・校内相談の基本","助成金・補助金","2026-06-19","2026-06-19","5705","0","0","助成金","USER INPUT REQUIRED","あり","UNPUBLISHED","UNPUBLISH","中核3領域外で継続的な制度確認が必要"
"free-ict-tools-safety-checklist","無料ICT教材・支援ツールを安全に使うチェックポイント｜判断基準と校内確認の順番","教材・支援ツール","2026-06-19","2026-07-08","6843","0","0","ツール安全確認","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","education-ai-service-checklist-before-useと重複"
"generative-ai-guideline-v2-school-reading","生成AIガイドラインVer.2.0を学校現場向けに読む：先生が押さえたい5つの視点","AI校務改善","2026-06-27","2026-07-08","2665","0","0","生成AIガイドライン","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","公式ガイドラインを学校向けに整理"
"generative-ai-school-training-guide","生成AI校内研修の進め方：教員向け研修で扱いたい安全面と活用例","研修・セミナー","2026-06-19","2026-06-19","6296","0","0","研修","USER INPUT REQUIRED","あり","UNPUBLISHED","UNPUBLISH","研修情報の継続更新と独自性を担保できない"
"giga-device-lesson-use-guide","GIGAスクール端末を授業で活かす基本：一斉授業・個別学習・協働学習の使い分け","ICT活用","2026-06-19","2026-06-19","3679","0","0","GIGA端末","USER INPUT REQUIRED","あり","PUBLISHED","KEEP_AND_STRENGTHEN","授業場面別の選択基準を持つ"
"giga-school-device-troubleshooting","GIGAスクール端末の困りごとQ&A：よくあるトラブルと対処法","ICT活用","2026-06-17","2026-06-17","4883","0","0","GIGA端末","USER INPUT REQUIRED","あり","UNPUBLISHED","MERGE","一般的Q&Aで一次情報との対応が弱い"
