"old_slug","old_title","classification","target_slug","target_title","unique_content_migrated","redirect_status","reason","test_result"
"ai-class-newsletter-prompt","学年だより・学級通信をAIで時短する実践例【プロンプト付き】","MERGE","ai-lesson-preparation-prompt","授業準備をAIで時短する方法：教材研究・導入・発問づくりの実践例","文書下書き後の確認観点を生成AI二段階チェックへ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"ai-koomu-kaizen-nyumon","AIで変わる校務改善：教員の残業を減らす5つの活用法","MERGE","ai-lesson-preparation-prompt","授業準備をAIで時短する方法：教材研究・導入・発問づくりの実践例","AIに任せる範囲と人間の確認責任を統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"chatgpt-teacher-beginner-guide","教員のためのChatGPT入門：アカウント作成から安全な使い始め方まで","MERGE","school-generative-ai-privacy-security","学校で生成AIを使うときの個人情報・セキュリティの注意点【教員向け】","入力前の安全確認を匿名化チェックへ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"free-ict-tools-safety-checklist","無料ICT教材・支援ツールを安全に使うチェックポイント｜判断基準と校内確認の順番","MERGE","ict-teaching-tools-selection-guide","教員向けICT教材・支援ツールの選び方：授業と特別支援で使いやすい観点","規約・個人情報・校内承認の観点を選定マトリクスへ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"giga-school-device-troubleshooting","GIGAスクール端末の困りごとQ&A：よくあるトラブルと対処法","MERGE","giga-device-lesson-use-guide","GIGAスクール端末を授業で活かす基本：一斉授業・個別学習・協働学習の使い分け","障害時の代替手段とトラブル対応を統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"google-forms-school-use-guide","学校でGoogleフォームを使う方法：アンケート・振り返り・校務効率化の基本","MERGE","giga-device-lesson-use-guide","GIGAスクール端末を授業で活かす基本：一斉授業・個別学習・協働学習の使い分け","目的先行・校内承認・代替手段の観点を統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"information-morals-education-themes","情報モラル教育の進め方：授業で扱う5つのテーマ","MERGE","school-generative-ai-privacy-security","学校で生成AIを使うときの個人情報・セキュリティの注意点【教員向け】","個人情報・生成AI出力確認を二段階チェックへ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"kyoiku-dx-kiso","教育DXとは何か？現場教員が押さえておきたい基礎知識","MERGE","giga-device-lesson-use-guide","GIGAスクール端末を授業で活かす基本：一斉授業・個別学習・協働学習の使い分け","ICTを目的化せず学習目標から判断する観点を統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"microsoft-copilot-teacher-guide","教員向けMicrosoft Copilot活用ガイド：校務で使う前に知っておきたいこと","MERGE","education-ai-service-checklist-before-use","教育AIサービスを学校で使う前に確認したいこと｜個人情報・規約・安全性のチェックリスト","製品名に依存しない規約・プラン・管理者設定確認へ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"special-needs-parent-collaboration","特別支援教育の保護者連携：面談・相談で大切にしたいポイント","MERGE","reasonable-accommodation-school-record","合理的配慮の申請と記録：学校現場での進め方ガイド","本人・保護者との対話と合意内容の記録へ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"tablet-ict-jugyo-giga","タブレット1台で始める授業ICT活用【GIGAスクール対応】","MERGE","giga-device-lesson-use-guide","GIGAスクール端末を授業で活かす基本：一斉授業・個別学習・協働学習の使い分け","1場面から試す授業設計と代替案へ統合","301","読者意図が最も近い中核記事へ統合","PASS_HTTP_301"
"education-grant-search-guide","教員が教育助成金を探す方法：個人応募・学校応募・校内相談の基本","UNPUBLISH","","","制度更新を継続確認できず404を維持","404","制度更新を継続確認できず404を維持","PASS_HTTP_404"
"generative-ai-school-training-guide","生成AI校内研修の進め方：教員向け研修で扱いたい安全面と活用例","UNPUBLISH","","","研修記事の独自性と実施経験を確認できず404を維持","404","研修記事の独自性と実施経験を確認できず404を維持","PASS_HTTP_404"
"joseikin-guide-2025","2025年度 特別支援教育・ICT活用に使える助成金・補助金まとめ","UNPUBLISH","","","年度が古く404を維持","404","年度が古く404を維持","PASS_HTTP_404"
"school-training-ict-ai-guide","教員研修を校内で進める方法：ICT・AI活用を現場に広げるポイント","UNPUBLISH","","","研修記事の独自性と実施経験を確認できず404を維持","404","研修記事の独自性と実施経験を確認できず404を維持","PASS_HTTP_404"
