slug,reader_job,primary_unique_value_type,primary_unique_value,why_this_page_exists,closest_competing_internal_page,distinctness_from_competing_page,firsthand_boundary,source_authority,canonical_asset,status
"ai-class-newsletter-prompt","生成AIに作らせた学級通信・学年だよりの下書きを、原資料と突き合わせて、AIが足した事実と落とした事実を1箇所ずつ判定し、配布できる原稿に戻す。","WORKED_EXAMPLE","原資料との両方向照合（AIが足した事実だけでなく、落ちた事実も探す）を照合表として持ち、失敗する架空出力を実際に判定させる作成例まで通している点。","生成AIの下書きは体裁が整っているため事実の欠落と付加が見落とされやすく、その照合作業だけを扱うページが必要だから。","ai-koomu-kaizen-nyumon","ハブは使うかどうかを入力前に決める判断順序を扱う。本記事は使うと決めたあとの、出力を原資料へ戻す照合作業だけを扱う。","SOURCE_ONLY（実務経験注記なし。一人称の実施主張を置かず、架空例はすべて架空と明示）","文部科学省 生成AIガイドラインVer.2.0／個人情報保護委員会 注意喚起／文化庁 AIと著作権／個人情報保護法 第2条","AI下書き前シート（本サイト作成の参考様式）＋配布前チェックリスト＋原資料照合表","CANONICAL"
"ai-koomu-kaizen-nyumon","自分の担当校務について、入力を始める前に「使う／保留／使わない」を校務ゲート1〜4で順に決め、止まったゲートとその理由を1枚に書き残す。","OPERATOR_DECISION_RULE","「止まってよい」を既定に置いた4ゲートと、判定だけでなく止まった位置・その理由・保留の再検討条件を残させる判断シート。使わない判断を成果として記録させる。","生成AIの記事は使い方の紹介に偏り、使わないという判断とその記録を扱わないため、同じ迷いを業務のたびに最初からやり直すことになるから。","education-ai-service-checklist-before-use","本記事は自分の校務でそのAIを使ってよいかの判断。相手はサービスを学校として導入候補に載せてよいかの一次判定で、判断の主体も対象も異なる。","A（授業案・教材のたたき台に生成AIを用い、個人情報の取扱いと校内ルールへの配慮を検討した範囲に限る。掲載5業務すべてでの利用経験は主張しない）","文部科学省 生成AIガイドラインVer.2.0／個人情報保護委員会 注意喚起・2025年学校向け注意喚起／個人情報保護法 第2条・第20条・第27条・第69条／同施行令 第2条／文化庁 AIと著作権","校務で生成AIを使う前の判断シート（本サイト作成の参考様式・止まったゲートと再検討条件の欄つき）","CANONICAL"
"chatgpt-tsuchihyo-shoken","担任している児童生徒を名簿順に見て、どの子には生成AIを使わないかを3つの軸で先に決め、使うと決めた子について入力前と提出前に何を見るかを確定させる。","DECISION_MATRIX","所見でAIを使う対象を児童生徒ごとに選別する3軸（匿名化して骨組みが残るか／保護者との関係に配慮が要るか／書けない理由は時間か材料か）を判定表にした点。","所見のAI利用は学級一律で語られるが、実際には子どもごとに使える・使えないが分かれ、その線引きを扱う資料が無いから。","ai-koomu-kaizen-nyumon","ハブは業務単位で判断する。本記事は同じ業務の中で対象ごとに判定が変わる場合の選別を扱い、ハブの判断シートを対象単位で使う場面にあたる。","A（通知表所見の作成・確認業務に携わった範囲。生成AIの利用は匿名化した下書きに限り、事実確認と校内確認は人が行う前提）","文部科学省 生成AIガイドラインVer.2.0／個人情報保護委員会 注意喚起","所見AI利用メモ（本サイト作成の参考様式・誰に使うかの判定表＋入力前チェック＋提出前チェック）","CANONICAL"
"digital-textbook-introduction-school-changes","学習者用デジタル教科書を初めて使う単元の前に、校内の誰に何を確認し、初回授業をどう組み、授業中に何を観察し、授業後に続ける・変える・やめるをどう判定するかを決める。","PROCEDURE_GUIDE","導入前の校内確認から、初回授業前の固有チェック、授業中の観察項目、授業後の4判定までを1枚に通した4段階の記録様式。授業中の観察と授業後の判定は他に類例がない。","デジタル教科書の解説は制度と紙との比較に偏り、最初の1単元を実際にどう回して次にどうするかを扱わないから。","giga-device-lesson-use-guide","相手は端末そのものの前日準備と当日のトラブル判断。本記事は教科書という教材に固有のライセンス・アカウント・紙との併用範囲と、単元単位の継続判定を扱う。","SOURCE_ONLY（実務経験注記なし。制度・手順は一次資料と本サイトの整理として示し、一人称の実施主張は置かない）","文部科学省 学習者用デジタル教科書について／同 効果的な活用の在り方等に関するガイドライン","初めての単元でデジタル教科書を使う記録シート（シートA 4段階の記録／シートB 紙とデジタルの選択理由＋完全な架空の記入例）","CANONICAL"
"education-ai-service-checklist-before-use","そのAIサービスを学校として導入候補に載せてよいかを、候補にする・保留・候補にしないの3値で、記入欄のある1枚の様式を使ってその場で一次判定する。","WORKSHEET_FORM","21行の一次判定様式と、判定を2値ではなく3値にして保留に理由と再検討予定日を書かせる設計。二次利用の既定値と管理者一括適用の可否を判定の分岐点に据えている。","導入の相談は「良さそうなAIがある」で止まる。持ち込む前に埋める1枚を、実際に提供する必要があるから。","free-ict-tools-safety-checklist","相手は授業で外部サービスを使ってよいかをゲートで止める判断。本記事はサービス側の条件（二次利用・生成物の権利・管理者設定）だけを見て候補に載せるかを決める。","B（ICT・クラウドサービスの利用条件や校内ルールを確認しながら活用を検討した範囲。全校導入・契約・管理者業務の担当は主張しない）","個人情報保護委員会 注意喚起／文部科学省 生成AIガイドラインVer.2.0／文化庁 AIと著作権","AIサービス一次判定シート（本サイト作成の参考様式・21行の記入様式＋3値判定＋完全な架空の記入例）","CANONICAL"
"free-ict-tools-safety-checklist","正式に導入されていない無料の外部サービスについて、5つのゲートのどこで止めるかをUSE・HOLD・DO NOT USEで線引きし、HOLDには期限と代替手段を書いて決着させる。","OPERATOR_DECISION_RULE","「使えないと確認できた」と「まだ分からない」を別の判定語に分け、HOLDに期限と代替手段を書かせることで、返事が来ないまま使ってしまう流れを構造的に潰している点。","一次資料は「リスクが許容できることを確認した上で申請」としか書かず、確認が終わらないときにどうするかを示さないから。","education-ai-service-checklist-before-use","相手はAIサービス固有の条件を見る一次判定。本記事は外部サービス一般を児童生徒に使わせてよいかの停止判断で、規約の見どころ一覧は相手へ委譲している。","SOURCE_ONLY（実務経験注記なし。一次資料の該当箇所を示すことで追跡可能性を担保し、確認例は架空と明示）","文部科学省 教育情報セキュリティポリシーに関するガイドライン／個人情報保護委員会 クラウドサービス利用Q&A・2025年学校向け注意喚起／個人情報保護法 第2条／同施行令／著作権法","外部ICTサービス利用前確認シート（本サイト作成の参考様式・Gate 1〜5の判定欄とHOLDの期限・代替手段の記入欄）","CANONICAL"
"giga-device-lesson-use-guide","明日の端末を使う授業について、前日までに児童生徒のアカウントで何を実機確認し、当日トラブルが起きたら何分で代替へ切り替え、どこから先を担当者へ渡すかを一人で決める。","OPERATOR_DECISION_RULE","1人1分・学級3分という切り上げの数値基準と、状況別に「教員がまず確認すること／授業を続ける代替案／ICT担当へ引き継ぐ目安」を分けた表。バッテリー異常時の停止条件を含む。","端末活用の記事は活用例に偏り、トラブルで授業が止まる場面で担任が何分で見切りをつけるかを扱わないから。","digital-textbook-introduction-school-changes","本記事は端末とアカウントの当日運用。相手は教科書という教材に固有の導入判断で、端末一般のトラブル対応は本記事が所有する。","A（1人1台端末を使った授業の設計・支援に携わった範囲。活用の効果や到達度は学年・教科・環境により異なるため主張しない）","文部科学省 StuDX Style／同 1人1台端末の安全・安心な利活用について","授業前チェック表（10項目・児童生徒アカウントでの検証）＋切り上げ基準＋状況別トラブル対応表＋授業後チェック表と架空の記入例","CANONICAL"
"google-forms-school-use-guide","保護者・児童生徒にフォームを配る前に、その相手にログインを要求できるかを起点として、使える設定・記名の粒度・2か所に分かれた権限・消す場所を確定させる。","PROCEDURE_GUIDE","ログイン要求の可否から、1回に制限・ファイル提出・メール確認済み収集の可否が連鎖するという依存関係の整理と、フォームと回答スプレッドシートで権限が別々である点。","Googleフォームの解説は操作手順が中心で、学校が最初に決めるべき「誰に配るか」と設定の制約の関係を扱わないから。","free-ict-tools-safety-checklist","相手は未承認の外部サービスを使ってよいかの判断。本記事は既に使えるツールについて、配布前に設定を確定させる作業を扱う。","SOURCE_ONLY（実務経験注記なし。仕様はGoogle公式ヘルプの確認日つきで示し、作成例は架空と明示）","Google公式ヘルプ（フォームの公開設定／回答の管理／共同編集者／権限エラー／アップグレード／質問形式／管理者設定）","Googleフォーム配布前設計シート（本サイト作成の参考様式・フォーム固有判断17項目を3列で整理）","CANONICAL"
"individual-education-plan-writing-guide","配られた計画様式の各欄を、学期末に自分で評価でき、次年度の担任が読んで同じ指導を再現できる粒度で埋め切り、共有・保管・引継ぎまで完了させる。","OPERATOR_DECISION_RULE","「どこまで具体化するか」という唯一の実質的な迷いを、引き継ぎテスト（知らない教員が再現できるか）と評価テスト（○×以外の言葉で評価できるか）の2判定に落とし込んだ点。","様式と記入例は配られるのに、どこまで書けば指導と評価に使える文書になるかの基準だけが誰からも示されないから。","reasonable-accommodation-school-record","本記事は計画様式の欄を埋める判断。相手は本人・保護者と合意した配慮を記録の文面としてどう書くかで、扱う文書も判断の種類も異なる。","A（個別の指導計画等の作成・評価・引継ぎに携わった範囲。様式や作成手順は学校・自治体・設置者により異なる）","文部科学省 個別の教育支援計画の参考様式について／同 初めて通級による指導を担当する教師のためのガイド","共有・引継ぎ前の確認チェックリスト（編集部作成・実態把握/目標/手立て/評価/引継ぎの5区分14項目）","CANONICAL"
"reasonable-accommodation-school-record","本人・保護者と合意した配慮を、その場にいなかった次の担当者が読んで使える記録の文面として、場面・困難さ・調整案・実施内容・期間・見直しの6欄へ書き換える。","WORKSHEET_FORM","避けたい書き方から「足りない情報」を特定して書き換える対応表を、学習面・環境面・評価面の3類型ごとに示し、推測と観察事実の書き分けまで様式化した点。","配慮の記録は「配慮した」で終わりがちで、次の担当者が同じ配慮を再現できる情報が残らないから。","special-needs-parent-collaboration","相手は面談1回分を運び切り、保留を確認・回答まで閉じる手順。本記事は合意が成立したあとの記録の文面だけを扱う。","B（合理的配慮の検討や記録に関わった範囲。相談・合意形成・記録の方法は学校・設置者により異なる）","文部科学省 障害のある子供の教育支援の手引／同 個別の教育支援計画の参考様式について","配慮記録の書き換え表（本サイト作成の参考様式・6欄の空欄様式＋3類型の書き換え対応表＋完全な架空の記入例）","CANONICAL"
