"slug","claim_id","section","claim","claim_type","risk_level","source_title","source_publisher","source_url","source_date","checked_at","status","action","notes"
"ai-lesson-preparation-prompt","ai-lesson-preparation-prompt-01","利用前の確認","生成AIの校務利用では設置者・学校の方針と入力情報を確認する","LAW_POLICY","HIGH","初等中等教育段階における生成AIの利活用に関するガイドライン（Ver.2.0）","文部科学省","https://www.mext.go.jp/content/000332373.pdf","2024-12-26","2026-07-21","VERIFIED","ADD_CITATION","ガイドラインの教職員による校務利用に対応"
"ai-lesson-preparation-prompt","ai-lesson-preparation-prompt-02","AIの役割","AIは授業案のたたき台に限定し、教員が原資料と目標に照らして修正する","PROFESSIONAL_PRACTICE","MEDIUM","初等中等教育段階における生成AIの利活用に関するガイドライン（Ver.2.0）","文部科学省","https://www.mext.go.jp/content/000332373.pdf","2024-12-26","2026-07-21","PARTIALLY_VERIFIED","REWRITE","時短・効果の断定を削除"
"ai-lesson-preparation-prompt","ai-lesson-preparation-prompt-03","プロンプト例","掲載プロンプトが実務上使えるか","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"chatgpt-tsuchihyo-shoken","chatgpt-tsuchihyo-shoken-01","個人情報","通知表所見の素材に個人データを含める場合は利用目的とサービスの取扱い確認が必要","LAW_POLICY","HIGH","生成AIサービスの利用に関する注意喚起等","個人情報保護委員会","https://www.ppc.go.jp/news/careful_information/230602_AI_utilize_alert/","2023-06-02","2026-07-21","VERIFIED","ADD_CITATION","個人情報保護委員会の注意喚起に対応"
"chatgpt-tsuchihyo-shoken","chatgpt-tsuchihyo-shoken-02","利用効果","AI利用が時間短縮や品質向上を保証する","RESEARCH","HIGH","","","","","2026-07-21","UNVERIFIED","REWRITE","保証表現を削除し表現候補の補助へ限定"
"chatgpt-tsuchihyo-shoken","chatgpt-tsuchihyo-shoken-03","所見例","架空例の文面が学校実務として自然か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","VERIFIED","KEEP","運営者確認済（2026-07-24）：経験A。確認された範囲のみを匿名・一般化して掲載。効果の実証・具体的な時短時間・全校導入は断定しない。"
"digital-textbook-introduction-school-changes","digital-textbook-introduction-school-changes-01","制度","2024年度から全国の小中学校等で段階的導入が進められている","LAW_POLICY","HIGH","学習者用デジタル教科書について","文部科学省","https://www.mext.go.jp/a_menu/shotou/kyoukasho/seido/1407731.htm","2025-09（審議まとめ掲載）","2026-07-21","VERIFIED","ADD_CITATION","文部科学省制度ページで確認"
"digital-textbook-introduction-school-changes","digital-textbook-introduction-school-changes-02","使い分け","紙かデジタルかを一律に決めず学習目的と困難に応じて選ぶ","PROFESSIONAL_PRACTICE","MEDIUM","学習者用デジタル教科書について","文部科学省","https://www.mext.go.jp/a_menu/shotou/kyoukasho/seido/1407731.htm","2025-09（審議まとめ掲載）","2026-07-21","PARTIALLY_VERIFIED","KEEP","判断表は編集部ツール"
"digital-textbook-introduction-school-changes","digital-textbook-introduction-school-changes-03","判断表","紙・デジタル使い分け判断表が実務上妥当か","FIRSTHAND_EXPERIENCE","MEDIUM","","","","","2026-07-24","UNVERIFIED","REWRITE","経験C（資料でのみ確認）：運営者の実経験としては非掲載。実体験を示唆する表現を中立的な一般表現へ書き換え済み。成果物・記述は公的資料に基づき維持。"
"education-ai-service-checklist-before-use","education-ai-service-checklist-before-use-01","データ取扱い","入力データの利用目的や処理方法を規約で確認する","LAW_POLICY","HIGH","生成AIサービスの利用に関する注意喚起等","個人情報保護委員会","https://www.ppc.go.jp/news/careful_information/230602_AI_utilize_alert/","2023-06-02","2026-07-21","VERIFIED","ADD_CITATION","サービスごとの規約確認が必要"
