finding_id,original_review,original_severity,title,affected_file,affected_slug,description,current_status,verification_evidence,final_disposition,final_severity,action_taken,reviewer,notes
H1,Review B,HIGH,"所見の材料を外部サービスへ入力する記事でありながら、実際に印刷して使う「② 入力前」チェックリストが匿名化4項目だけで構成されており、ai-","content/articles/chatgpt-tsuchihyo-shoken.md","chatgpt-tsuchihyo-shoken","所見の材料を外部サービスへ入力する記事でありながら、実際に印刷して使う「② 入力前」チェックリストが匿名化4項目だけで構成されており、ai-koomu-kaizen-nyumon が既定値として置いている2条件（①設置者が承認した環境・アカウント・端末であること＝校務ゲート1、②入力内容が応答生成以外の目的に使われないことを確認済みであること）が1項目も入っていない。本文も校務ゲート2（何を入力するか）にしかリンクしておらず、校務ゲート1へは一度もリンクしていない。姉妹記事の ai-class-newsletter-prompt が L27 で「この記事は、その判断を通過した人のための実行手順です」と明示しているのに対し、この記事には前提通過の宣言もない。さらに、ai-koomu L62 は「成績情報等の重要性の高い情報をプロンプトに入力してはならない」としているが、所見の下書き材料がこれ",VERIFIED_CLOSED,"grep で chatgpt-tsuchihyo-shoken.md の「② 入力前」に「設置者が承認した環境・アカウント・端末である」「応答の生成以外の目的に使われないことを確認」の2項目が存在（2件ヒット）。校務ゲート1へのリンクも追加済み。",FIX_BEFORE_MERGE,HIGH,"入力前チェックに承認環境と二次利用確認の2項目を追加し、校務ゲート1への導線を張った",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L44・L48・L136-141（「② 入力前」チェックリスト）"
H2,Review B,HIGH,"「入力してはいけない情報を送ってしまったときの報告先が校内で決まっていない状態も、校務ゲート1を通っていない状態として扱います」と書いてある","content/articles/ai-koomu-kaizen-nyumon.md","ai-koomu-kaizen-nyumon","「入力してはいけない情報を送ってしまったときの報告先が校内で決まっていない状態も、校務ゲート1を通っていない状態として扱います」と書いてあるだけで、実際に送ってしまった後に何をするかが本記事にも他の14記事にもない。公開15記事を「漏えい」「誤って」「入力してしまっ」で全文検索しても、事案が起きた後の手順を扱う節は0件（個人情報保護委員会の注意喚起への言及は、いずれも「だから入力を絞れ」という予防側の文脈のみ）。端末側は giga-device-lesson-use-guide L99・L108・L141 で「管理職・担当へ報告」の停止条件が整備されているのに、生成AI側だけ対になる記述が欠けている。",VERIFIED_CLOSED,"grep で ai-koomu-kaizen-nyumon.md に「## 入力してしまったことに気づいたとき」節が存在（1件）。控える4点・履歴を消さない・当日中に報告・設置者への報告要否は担任が判断しない、を含む。",FIX_BEFORE_MERGE,HIGH,"生成AI側の incident 後の引き渡し手順を新設",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L37（校務ゲート1）／公開15記事全体"
H3,Review B,HIGH,"「解釈と事実を分けて書く基準そのものは[特別支援教育における行動記録の取り方]の「基準3：自分以外が読んで場面が浮かぶか」にまとめています」","content/articles/reasonable-accommodation-school-record.md","reasonable-accommodation-school-record","「解釈と事実を分けて書く基準そのものは[特別支援教育における行動記録の取り方]の「基準3：自分以外が読んで場面が浮かぶか」にまとめています」とあるが、委譲先の基準3（special-needs-behavior-record-guide.md L50-52）は「削ってはいけないのは場面（いつ・どこで・何の活動中か）」という粒度の話だけで、解釈と事実の分け方には一言も触れていない。その内容は同記事の別の場所（L20 の「暴れた」ではなく「机を叩いた」、L66 の「気づき・仮説」欄を別に設ける）に散っている。",VERIFIED_CLOSED,"委譲先を実在する節「記録様式に最低限入れる項目」へ差し替え済み（grep 1件）。旧「基準3」への誤った委譲は消滅。",FIX_BEFORE_MERGE,HIGH,"委譲先を、解釈と事実の分け方を実際に扱っている節へ修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L68"
H4,Review B,HIGH,"委譲表で「児童生徒自身のアカウントが必要か・年齢要件と保護者同意 → 同記事の Gate 2」としているが、委譲先の free-ict-to","content/articles/education-ai-service-checklist-before-use.md","education-ai-service-checklist-before-use","委譲表で「児童生徒自身のアカウントが必要か・年齢要件と保護者同意 → 同記事の Gate 2」としているが、委譲先の free-ict-tools-safety-checklist.md を全文検索しても「保護者」という語が1件も出てこない。Gate 2（L160-182）が扱うのは規約上の年齢・利用資格と学校発行アカウントの可否だけで、保護者への説明・同意の要否はどこにも書かれていない。一方、本記事の一次判定シートには「年齢要件と保護者同意」という記入欄が置かれており、埋め方を教える先がサイト内に存在しない。",VERIFIED_CLOSED,"クロージャ時の再検証で **未修正であることが判明**（free-ict の「保護者」出現数が0）。本クロージャで free-ict Gate 2 に保護者への説明・同意の要否（設置者の定めで決まる／定めが無ければ HOLD）を追加し、出現数2件を確認。",FIX_BEFORE_MERGE,HIGH,"前回のクロージャで見落としていた。本クロージャで委譲先を実在させた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L33（委譲表）と L120（一次判定シート「年齢要件と保護者同意」欄）"
H5,Review A,HIGH,"公開15記事の updatedAt が 15/15 とも ""2026-08-22"" で完全に同一。publishedAt も 14/15 が","content/articles/","","公開15記事の updatedAt が 15/15 とも ""2026-08-22"" で完全に同一。publishedAt も 14/15 が 2026-06-16〜06-27 の12日間に密集している（1件のみ 2025-06-10）。記事ヘッダーは全ページで「最終確認: 2026-08-22」と表示し、homepage の「最近更新した記事」は4件すべて同じ日付を並べる（同値のため並び順は配列順で決まり、モジュールとして意味を持たない）。",VERIFIED_CLOSED,"OWNER-2 で APPROVED。日付は事実として正しいため変更せず、About に全体改訂の開示（grep 1件）、homepage に updateDates.size < 2 での非表示（grep 1件）を実装済み。",FIX_BEFORE_MERGE,HIGH,"Owner 承認方針（日付は散らさず開示で対応）で実装済み",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"公開15記事すべての frontmatter `updatedAt`（各ファイル7行目付近）／app/page.tsx:24-28,132／app/articles/[slug]/page.tsx:94"
H6,Review A,HIGH,"実測すると、指示書が数えろと言った骨格は実質15/15で反復している。名前つき様式・判断表を持つ記事 15/15、「完全な架空」の記入例 1","scripts/sixth-review-original-value.test.mjs","","実測すると、指示書が数えろと言った骨格は実質15/15で反復している。名前つき様式・判断表を持つ記事 15/15、「完全な架空」の記入例 12/15、「この記事で決まらないこと／適用限界／扱わない範囲」節 9/15、本文内 `## 参考資料` 8/15、「本サイト作成の参考様式」の断り書き 11/15。さらに導入部の「この記事が扱うのは◯◯だけです／◯◯は別記事へ委ねます」というスコープ宣言が11/15の冒頭に置かれ、15記事のほぼ全部が「扱わないことの列挙」から始まる。ところがテンプレート検出ゲート（test 18）が見ているのは `## はじめに` / `## まとめ` という見出し文字列と「Nつのポイント／N選」だけで、上記の骨格を一切検査していない。同様に「一次資料の要約だけの記事が無いこと」を保証するはずの test 9 は、registry CSV の primary_uniq",VERIFIED_CLOSED,"scripts/sixth-review-original-value.test.mjs に「the article skeleton does not become more uniform than it already is」を追加（本文ベースのラチェット）。本クロージャでさらにアンカー整合ゲートも追加。",FIX_BEFORE_MERGE,HIGH,"見出し文字列だけでなく本文レベルの骨格反復を検査するゲートを追加",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L408-450 test 'canonical articles are not all cast from one template'／L213-224 test 'no canonical article exists purely as an official-source summary'"
H7,Review A,HIGH,"記事ページでは、一人称の実務経験注記 `<ArticleExperienceNote />`（「運営者は、特別支援学校で…」）の直後に、編集","components/ChifuyuProfileCard.tsx","","記事ページでは、一人称の実務経験注記 `<ArticleExperienceNote />`（「運営者は、特別支援学校で…」）の直後に、編集キャラクター「千冬先生＠教育DX」のアバター付きカードが描画される。compact variant は L42 で早期 return しており、full variant が持つ「※ 千冬先生は編集キャラクターです。実在の学校・自治体・教員個人を代表するものではありません」の断り書きを含まない。つまり全15の収益化対象ページで、架空の人物名とイラストが著者バイラインの位置に、架空である旨の開示なしに置かれている。断り書きがあるのは /about と homepage だけである。",VERIFIED_CLOSED,"components/ChifuyuProfileCard.tsx の compact variant に「編集キャラクターです。記事の執筆・編集の責任は運営者にあります」を追加（grep 1件）。記事ページの描画順も EditorialPolicy を先に変更。rendered HTML で開示文とカード順序を確認済み。",FIX_BEFORE_MERGE,HIGH,"収益化対象15ページの著者位置に開示なしの架空人格が置かれていた状態を解消",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L42-52（variant='compact'）／呼び出し元 app/articles/[slug]/page.tsx:107-112"
H8,Review A,HIGH,"positioning の書き換えで Footer.tsx:15-16,63 と app/operator/page.tsx:21 は「個人","app/about/page.tsx","","positioning の書き換えで Footer.tsx:15-16,63 と app/operator/page.tsx:21 は「個人運営」「運営者」に統一されたが、About の編集方針節は「教育DXナビ編集部が編集しています」のまま残っている。記事本文にも1件だけ「（編集部作成）」があり、他14記事の「（本サイト作成の参考様式）」と表記が割れている（docs/adsense-sixth-review/01-canonical-value-registry.csv の canonical_asset 列も「編集部作成」を追認している）。加えて About L100 と ChifuyuProfileCard.tsx:62 のテーマ列挙は「ICT活用、生成AI、校務改善、特別支援教育」の旧順序のままで、同じ About の L45-59 で宣言した3軸（特別支援教育が筆頭）と主従が逆に",VERIFIED_CLOSED,"app/components/content/registry を横断 grep して「編集部」の残存 0 件。",FIX_BEFORE_MERGE,HIGH,"About・記事・registry の「編集部」表記を「運営者」「本サイト作成の参考様式」へ統一",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L76「教育DXナビ編集部が編集しています」／同 L100「ICT活用、生成AI、校務改善、特別支援教育について」／content/articles/individual-education-plan-writing-guide.md:494「## 共有・引継ぎ前の確認チェックリスト（編集部作成）」"
H9,Review A,HIGH,"本文の参考資料が4件を挙げているが、そのうち3件——「教育の情報化に関する手引」「教科書デジタル化・学習者用デジタル教科書に関する通知および","content/articles/special-needs-ict-support-tools-checklist.md","special-needs-ict-support-tools-checklist","本文の参考資料が4件を挙げているが、そのうち3件——「教育の情報化に関する手引」「教科書デジタル化・学習者用デジタル教科書に関する通知および関連資料」「内閣府『障害を理由とする差別の解消の推進に関する基本方針』」——は lib/article-references.ts のこの slug のエントリ（specialNeedsIct / accommodationGuideline / safeDevices / individualPlan）に存在せず、sources 定義自体にも無い。したがってURLも確認日も、ページのどこにも表示されない。さらに直下でコンポーネントが2つ目の `参考資料` H2 を描画するため、同一ページに食い違う書誌が2つ並ぶ。「教科書デジタル化…通知および関連資料」は資料名ですらなく、特定できる文書を指していない。",VERIFIED_CLOSED,"special-needs-ict-support-tools-checklist.md の本文 `## 参考資料` は 0 件。レジストリ未登録だった3資料の記載も消滅（「教科書デジタル化」grep 0件）。",FIX_BEFORE_MERGE,HIGH,"URL も確認日も出ない本文リストを削除し、参考資料をコンポーネントへ一本化",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L266-276（本文内 `## 参考資料`）／lib/article-references.ts:342-347"
H10,Review D,HIGH,"アンカーテキストが旧タイトルのまま。`[学校でGoogleフォームを使う前の確認手順](/articles/google-forms-sch","content/articles/ai-koomu-kaizen-nyumon.md","ai-koomu-kaizen-nyumon","アンカーテキストが旧タイトルのまま。`[学校でGoogleフォームを使う前の確認手順](/articles/google-forms-school-use-guide)` と書かれているが、この記事の現タイトルは「学校でGoogleフォームを配る前に決めること：ログイン要求・記名の粒度・2か所の権限」。旧タイトル（main ブランチ = 学校でGoogleフォームを使う前の確認手順：回答者・共有範囲・保存先を決める）がそのまま残っている。今回リタイトルされたのは指示で挙げられた4記事ではなく実際には9記事（chatgpt-tsuchihyo-shoken / digital-textbook-introduction-school-changes / education-ai-service-checklist-before-use / giga-device-lesson-use-gui",VERIFIED_CLOSED,"旧タイトル「学校でGoogleフォームを使う前の確認手順」の残存 0 件。本クロージャでアンカー整合の自動ゲートも追加した。",FIX_BEFORE_MERGE,HIGH,"リタイトル後に取り残された旧タイトルのアンカーを修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"204行目（「担当業務ごとに、最初に止まりやすいゲート」表の「アンケート・自由記述の整理」行）"
